address,id,balance
bitcoinaddress_39BD2435AB7D89F2E2D7459EB9DA1321075717C4,474733955,4052000000000000
bitcoinaddress_E5180F1FA2B9B556B062569C0296905AF3776156,100092570,4050500000000000
bitcoinaddress_29C4379896D1F89567EDD7661BDD70C915B8FC10,804910064,2856000000000000
bitcoinaddress_EF6A87DFA8FE02E20F61D386D48427E94E645E3B,37771717,1527631995000000
bitcoinaddress_F1EDBB36D1E7DBE53E265021ECB54DD7F9A348EE,38490794,1403000000000000
bitcoinaddress_B483AC1A4BEA4E9149AA177FC71DDE15AE5ADB83,75940277,1160002000000000
bitcoinpubkey_410431D9DD452B73CF3B85F9955C0902F994B0D3DC3350EF6DA4A83A7747045D44002C0B20C3622D62AFFA44393038F9409E388C675D2E1118E65D30027A57170EF1,637846331,1137000000000000
bitcoinaddress_10D722E40E55AE5C2589E5C08C679AF69FFC2572,35418983,760852720000000
bitcoinaddress_951D69F95B2BC9CEB2CFA5B446FF62665226EAD2,832994609,728009000000000
bitcoinaddress_DB44C017339E72E97C2E8251329928239C486FF8,512545968,723383726000000
bitcoinpubkey_41040ADB6790B8CBCF397DA581E78B42C469672A2BF2906032A6BA85C1BF28FACCF99AD4B8128B92B6B7D89F905F78F81542BF52D4FFB03324FD80F93B7AD039AB13,492788360,723336756000000
bitcoinpubkey_4104A5ED7CA6B78732C9B5E82F1A9EE81F4279DFA0BBED82B34FA7145BF067FD97E9D298F70E8E7FE90F09CAE0D887A084A0B0E451CC70B14878DC798A1035BE94C6,20228774,721132548000000
bitcoinaddress_A0C333DEFCBDECD91846DC82922EDC295C3C17D4,153734810,503939960000000
bitcoinaddress_F863BDF71473080FC669D8608176804741CA3D61,855386884,475000000000000
bitcoinpubkey_4104E54CB303BE4F96957DBFCB9D64311AD8BBEA283BFC4A8DEB6ABD24C798267E8FA09E6BE6DFA8BB3C8A6489B5581126CF1CFAC0614818AE5308E853710DCD660B,330229283,474000000000000
bitcoinaddress_B412D845C3C8110684FF482346D827CA7B8E52D8,719308409,448500000000000
bitcoinaddress_4D8428CFEEA459432DC6E024FBA2056FE469941B,508528942,243304889000000
bitcoinaddress_B12CF7D52F5384A83AC96D3188091DE78211518E,691241749,240208326000000
bitcoinaddress_43F44A45FD928B9CCD23E9706706ED3B8F9DDE5F,518042545,231410600000000
bitcoinaddress_D5982A7369CCE1CAD31D69D86A7D7A9D09F37115,222136022,230947600000000
bitcoinaddress_A78FF49E6DD1C780EC4062C67379D92EC0319A41,61830742,192445867000000
bitcoinaddress_FB84BB2F421470C1FC6DC4FBCE8036BCA051926F,568551693,189296569000000
bitcoinaddress_FBFDD8D18B0686CE46E828C7FCBF303B659D031E,108800249,182264811000000
bitcoinaddress_2839BA451CCEA7257AE6EDAB38B2EB02D695CB4B,237065183,181882188000000
bitcoinaddress_56D88F891EB5B2FDD8A3F738E71ADBE27146F190,501558446,181000000000000
bitcoinpubkey_41044766F4F112DFB79BC92A61DB237F9E1E2C4F9C40E8A6AE63A4AE861F1C7774CF91C69FF3C5E0209A9C37590A3234924FA29619660F2DB2B5BA594AE56C69FBD0,658494997,180527690000000
bitcoinaddress_595820BCF733AAAC9BF4BC8206114E80E896D974,610130475,165910000000000
bitcoinpubkey_41040EFFB0DFB063D27D5C55482BBC34E2EAF89FC74245615D5CAE8EC168DA6BE8855DD3E04BE254DF54DC1B78BCD5291818352E9D023A25BDE9218EB647B2ECE9ED,604909958,159538495000000
bitcoinaddress_8E9FF5E934DB1A3B61464F76F3A712C504D23B3B,391101267,154791864000000
bitcoinaddress_54269C068B300B19B736ABC151A077A1C0CECBA0,43071495,153148136000000
bitcoinaddress_0977FBFDAD3F5DDE138B88068EBF94A0D7563E53,791845963,148132807000000
bitcoinpubkey_4104CD5E9726E6AFEAE357B1806BE25A4C3D3811775835D235417EA746B7DB9EEAB33CF01674B944C64561CE3388FA1ABD0FA88B06C44CE81E2234AA70FE578D455D,403121527,130577700000000
bitcoinaddress_DF1BD49A6C9E34DFA8631F2C54CF39986027501B,638772865,130422300000000
bitcoinaddress_E9AAA44E280EA5C96D425A5938F7A95F8071848B,552407172,107390904000000
bitcoinaddress_1512157B2853E9D9DEAE89721442A56EE395C20F,307033625,105723255000000
bitcoinaddress_AB70E9B72B4153FF4A5FAF1AB26396BC58732A0E,224409252,105700000000000
bitcoinaddress_398DE1CBA95E9629A18C62E23602E700EAA0811F,213141407,105011638000000
bitcoinaddress_DE5417C049381D7F93AD0E5748B1BE5D7AAD5DF0,341715348,89000000000000
bitcoinaddress_1762B93546EC7E3428A62586CFCF3E72D4F19798,317635719,88786190000000
bitcoinpubkey_41041C47FA669F6EE44B95D0B46F2CE75C7BCBC1FAFE2728BB6D6D5BCFB76BE9F5AD85715A574EC9896CB2D26C1E9E70848A7B979888F78115407FC960EC3359C0D1,532320690,87200000000000
bitcoinaddress_56499954D6321B727B9ED16718F5E75AE2DD4B90,703532218,76664600000000
