address,id,balance
bitcoinaddress_5A30B219AAAB602838E5EF1B34F2A5A2DEEFBAD2,19364515,8065314626240927
bitcoinaddress_B91FB20593A3CF8223D2E82B3698DD3EFE92DAC7,262520012,7410801096088207
bitcoinaddress_39E41D64764F31CC29FFA7689305748F8C128326,69957311,7352821029690471
bitcoinaddress_91AB816B72D7C02D6C85259375CEAB6CF781795F,789702904,7276810331461634
bitcoinaddress_AF556807BB5398A5D60807FB973BD744B8851CBE,606837370,7272178281194816
bitcoinaddress_D655B65519DCA2553AADE471971DDBFC7F531AD1,688303883,7225500000000000
bitcoinaddress_FD0543FA8590C988397B6547F8B2A1A998FEFF44,729358403,7192146892302588
bitcoinaddress_0D13E2A0DCFD6C97765C4DBD6B7A32709F56C796,723617872,7190000000000000
bitcoinaddress_4FB0203782790A9CFA2B534CB5F03DBE4509BE99,278821770,7135946282742629
bitcoinaddress_3066A987EC6DA4AB3CB1D7F4B535C570A3657F29,664423500,7045769446203685
bitcoinaddress_680687542E6A94482516658F3421DE250A434D22,761897485,6814805676425504
bitcoinaddress_EC09C2B75BFA41DF3936D82835F332023F998023,58542510,6803502395511652
bitcoinaddress_189ECB56E9F41DAFA5CF903808D2312D1D4E2592,571282635,6654937304179057
bitcoinaddress_EA8E425EAA9599FF1045E3D770661B69E072CB84,152567548,6630228400658186
bitcoinaddress_C5C50C4B5197376DAC62D2B64F99F6510EDDB120,825762777,6605735875593133
bitcoinaddress_40DCF6E5CEA6858AC572DDB66DD8B5F6DF7523F5,553759303,6605718902441989
bitcoinaddress_B00C397A178EF304CD26D4EA16338F6FABC8F787,769776271,6604896368235117
bitcoinaddress_77D74138808F6B64FC75FB5195AE5F1D260F0617,754688469,6545687512745008
bitcoinaddress_93A245AFFCA7445A4113A522E34D15D694CC7252,310479852,6328117910131894
bitcoinaddress_1F91C25624913383D0624F6E4A6165FDCDF35956,512811390,6314864737886032
bitcoinaddress_B323B7A661C8AB7B33C70907C8C8AC4E5C2A979E,517340374,6279257930336350
bitcoinaddress_2FA00477501D7BD5726DEE402CD8D27B2E9ACA88,802369107,6247308790174479
bitcoinaddress_A51B95D0BD9697CC1A0CCEDFE6CC4AF288EDC031,873852361,6247308790174479
bitcoinaddress_4A4A07210ABA776C1BE16D43BEE69C93AC416045,227330486,6056051859508142
bitcoinaddress_AAC9144C3DB91E6A43CC9D04EF0E8B0C19FF3342,541998585,6031985321714722
bitcoinaddress_44EAE03E5C7CAF0598DFE45FD6A6829989A5D2CD,666989408,5990168856948488
bitcoinaddress_FAB9F39725057E320D567978B6A8B4A8B6A21026,96943685,5938515584006226
bitcoinaddress_99294AB882D48B51CBB3F6246D0FAE13376CBB47,96091801,5676011929078724
bitcoinaddress_22BA1045A4DE85552A8511B4F1AC22B329DC5407,304281113,5674274939615218
bitcoinaddress_A3521A738BE0E06C6D9EA9A08C4062034EADE6C9,434310719,5452001806954104
bitcoinaddress_13237C28B7260F90EFAE770754EA77B1308FBB4C,388445796,5349115846422917
bitcoinaddress_BC55F5152BCAE4769FD456A8ACBEEB2B36443E5C,642847991,5348215910590248
bitcoinaddress_419E86ADE4FB4E5A7B60230D3BD86E6ABED672F4,812899963,5284701679564222
bitcoinaddress_D19D00DBD59B8F7F65403EDF29EAC52077735409,820854456,5282224384242611
bitcoinaddress_ED60B99966E709315E7CD884E1D31D6909DB15A7,489439300,5274979034449063
bitcoinaddress_0DF9384CC2B278F546478EAED5822ACBF78DAD9A,769945037,5273460323593565
bitcoinaddress_B7393DF54FF4508FBFEB6824A3164AB72E42C76F,674833277,5235842422691154
bitcoinaddress_BFB9473722EC034524569549A9A9F215477425C9,702964731,5198109433016526
