address,id,balance
bitcoinaddress_C632ADFCDB18AB2AB79A4D7C691DB937B93C1C80,149545225,19197840003464992
bitcoinaddress_5A30B219AAAB602838E5EF1B34F2A5A2DEEFBAD2,19364515,19175176099297762
bitcoinaddress_79C884EAFBA4DD3675BA0D910C46B309328E113B,546525147,19033086360155366
bitcoinaddress_B08F46E4D21CD0547A8A1E2E43E5440284F710A4,576011233,11708298155492315
bitcoinaddress_AF556807BB5398A5D60807FB973BD744B8851CBE,606837370,7477208023073248
bitcoinaddress_FD0543FA8590C988397B6547F8B2A1A998FEFF44,729358403,7403526021346891
bitcoinaddress_4FB0203782790A9CFA2B534CB5F03DBE4509BE99,278821770,7347084660368328
bitcoinaddress_D655B65519DCA2553AADE471971DDBFC7F531AD1,688303883,7225500000000000
bitcoinaddress_0D13E2A0DCFD6C97765C4DBD6B7A32709F56C796,723617872,7190000000000000
bitcoinaddress_B91FB20593A3CF8223D2E82B3698DD3EFE92DAC7,262520012,7157442797294587
bitcoinaddress_39E41D64764F31CC29FFA7689305748F8C128326,69957311,7061065349607013
bitcoinaddress_91AB816B72D7C02D6C85259375CEAB6CF781795F,789702904,6997213897646874
bitcoinaddress_3066A987EC6DA4AB3CB1D7F4B535C570A3657F29,664423500,6761231983407102
bitcoinaddress_A51B95D0BD9697CC1A0CCEDFE6CC4AF288EDC031,873852361,6590786434189285
bitcoinaddress_680687542E6A94482516658F3421DE250A434D22,761897485,6536798745470206
bitcoinaddress_EC09C2B75BFA41DF3936D82835F332023F998023,58542510,6526315646334112
bitcoinaddress_189ECB56E9F41DAFA5CF903808D2312D1D4E2592,571282635,6391508355636836
bitcoinaddress_B00C397A178EF304CD26D4EA16338F6FABC8F787,769776271,6329283182363142
bitcoinaddress_40DCF6E5CEA6858AC572DDB66DD8B5F6DF7523F5,553759303,6327717791259671
bitcoinaddress_2FA00477501D7BD5726DEE402CD8D27B2E9ACA88,802369107,6271943951435764
bitcoinaddress_77D74138808F6B64FC75FB5195AE5F1D260F0617,754688469,6270693623802572
bitcoinaddress_44EAE03E5C7CAF0598DFE45FD6A6829989A5D2CD,666989408,6144809719317732
bitcoinaddress_B323B7A661C8AB7B33C70907C8C8AC4E5C2A979E,517340374,6137506947691981
bitcoinaddress_1F91C25624913383D0624F6E4A6165FDCDF35956,512811390,6137286418771957
bitcoinaddress_93A245AFFCA7445A4113A522E34D15D694CC7252,310479852,6069914430515265
bitcoinaddress_4A4A07210ABA776C1BE16D43BEE69C93AC416045,227330486,6056051859508142
bitcoinaddress_84D91E8CC588332F5911439D78B94188750B7B67,157422709,6029064220528930
bitcoinaddress_C5C50C4B5197376DAC62D2B64F99F6510EDDB120,825762777,5941423429150905
bitcoinaddress_AAC9144C3DB91E6A43CC9D04EF0E8B0C19FF3342,541998585,5769031711136477
