id,pagerank,address,verticeid
96156441,11.131310537507646,bitcoinaddress_2126E017A832DAF8E366302AC084961B6165D6A8,96156441
445364722,10.860421849071498,bitcoinaddress_E37EE9615BE229AF1A4D4F5489C79744EA659B05,445364722
642376840,10.622730676210132,bitcoinaddress_2606C19AF557A1DD836CA298F5A94A70BAAD3C24,642376840
666011384,10.441186843123878,bitcoinaddress_8D403B62970491F203ED4CC830798CAD53E67518,666011384
346252578,10.382477492190429,bitcoinaddress_1AEEAEAE44178E70B54F19EEA14D85426A158068,346252578
232062088,10.224009177073599,bitcoinaddress_2951B7D3E20B289FBAE4CE0AFCCC6020EF4A25AB,232062088
797978363,10.202743167824666,bitcoinaddress_469DC3C2E0607460118645780E677482A565ADAD,797978363
205665904,10.176664489918524,bitcoinaddress_C032BE07AC3C78124275899DB459EC108D104C7A,205665904
17506346,10.08222987071956,bitcoinaddress_F2D0E17D561929CD11824722C2C2196D4F15D7BA,17506346
426901258,9.797664425644733,bitcoinaddress_ABFAA5C8343343C8914A009E38F31D057C58C8E8,426901258
529914812,9.755791618292859,bitcoinaddress_0FC6002C0995BD92123EFD293CBBBDF943DFC6D9,529914812
57062776,9.682905479390739,bitcoinaddress_1D6E0AC30F43024575A9E69E2DADF644AECA742A,57062776
31811320,9.64302530408633,bitcoinaddress_EBF6CFC341C4E6DC9AA46BE1C990611199AE9E62,31811320
132438080,9.594518511182292,bitcoinaddress_75961B7C26DAD6154394B8B2B6B6AE3268D59147,132438080
446063590,9.583980741969908,bitcoinaddress_50CFCFD9326339D34C109E02C6479007FD74FE60,446063590
372103901,9.48462260512148,bitcoinaddress_6DDEA8071439951115469D0D2E2B80ECBCDD48DB,372103901
604725129,9.377833338506466,bitcoinaddress_32D5050E2342A250B2F3F9A66226A0BAEF02CD10,604725129
699185091,9.32816613910165,bitcoinaddress_59E93E4E8B0A5567F63244454DEABB1565725B02,699185091
585268115,9.05380212033523,bitcoinaddress_18CB3A8A147F31F44393F290935A1B7A6CC33F40,585268115
599631373,8.98764043690332,bitcoinaddress_DCAB57B3D69D4F0A68D4ACCB0E15683EE1509B21,599631373
849271246,8.919827033200425,bitcoinaddress_EB4B9BA09B0BFDF6F74A7836247B0E13789199DD,849271246
132031465,8.912117172372115,bitcoinaddress_8070130472356186939BA3AAFB4BF87E61F191DF,132031465
534451694,8.831867206841228,bitcoinaddress_FA0C00F76C7A32FC50E3401E8346682B90BBE6DC,534451694
650893137,8.587185760906387,bitcoinaddress_0D2D327AEBCCF9D6D4271380E6E1F381ABE31CC4,650893137
804950182,8.411526656400925,bitcoinaddress_6168E08BFC275AAA100B4B44B0AAB63EF98ED904,804950182
98394153,8.159137554609718,bitcoinaddress_ECF050687C6F56A1BFDB987D6EEC5CBEA5949B64,98394153
261259757,8.158790149039268,bitcoinaddress_1B61BEDB5E8131D54D535358EA6C89BF0B30A7EB,261259757
290601091,8.081479653465985,bitcoinaddress_BBA99872C121329E20815EDA661D9CDF8A463D94,290601091
614863245,8.06540441935598,bitcoinaddress_694EB14B88BC7DEE9A03071AEEEDC31C3A13F808,614863245
284695732,7.922563034760479,bitcoinaddress_F818F110DD6810F820262FA42BAEC55F92613615,284695732
183890494,7.800520268249043,bitcoinaddress_C740CED3D17BEFCA330873F97DA99AA666A8BEB6,183890494
811268211,7.781975310512478,bitcoinaddress_2395AFED4D56575AD491A3C9D9F6BDC069038A6A,811268211
237066009,7.754286593366353,bitcoinaddress_366A27645806E817A6CD40BC869BDAD92FE55091,237066009
32919795,7.748724552492356,bitcoinaddress_DA3DAEBED0FB21F2BED31D31F4875C7CB209C40E,32919795
473670651,7.705551271002353,bitcoinpubkey_4104F9804CFB86FB17441A6562B07C4EE8F012BDB2DA5BE022032E4B87100350CCC7C0F4D47078B06C9D22B0EC10BDCE4C590E0D01AED618987A6CAA8C94D74EE6DC,473670651
91034716,7.58826837804339,bitcoinaddress_6A7CA375CEB0582841B269C9101821FC7844F847,91034716
184452076,7.584434930545114,bitcoinaddress_4BD970C2873860457B3F9BCC925F7CDD0BEC7FAD,184452076
813614081,7.508068831438414,bitcoinaddress_56D8F7C80FA9D2442166582BBBB8CFA9EAFC0928,813614081
239560574,7.467329364425052,bitcoinaddress_B6EFD80D99179F4F4FF6F4DD0A007D018C385D21,239560574
183204528,7.462051235223038,bitcoinaddress_708058676AC8C1E5BF410FB848026BAD9342A221,183204528
656433199,7.227595304927633,bitcoinaddress_7D738C5F3451F8627206030F2F4A863D42DF77DE,656433199
195289888,7.223207421805908,bitcoinaddress_CA374BBA3CCEAF3F0851BB7EF976449AA238D1DC,195289888
537405114,7.19107892953164,bitcoinpubkey_4104F9A3D1D23E99B495DB48EB24F332384AD1C270BF738DBA4FB51A58FADD225AF0C193BDA1064F04479983F800889D661A8C2E688524772CDEF22A6C347890973C,537405114
286806470,7.165513538677339,bitcoinaddress_3DBAA553D8826EF0E06CEC4E9ED551A2BDD9803D,286806470
778281280,7.117945806757139,bitcoinaddress_E0707A33566F3FBE3B95C4C6873A423963C1855C,778281280
